Name,CoagSense,,,,,,,,,
ID,EE32:631E,,,,,,,,,
Serial No.,27DE:EE32:631E,,,,,,,,,
Version,1.35.00,,,,,,,,,
Timezone,Europe/London,,,,,,,,,
,,,,,,,,,,
Id,Time,pH (Raw) 1.1: pH,pH (Post-Caustic) 5.1: pH,SC Control (PID/Flow) 1.1: 1,pH (Post-Alum) 5.2: pH,pH Control (PID/Flow) 1.2: 1,SCM 1.3: Streaming Current,Coagulation Control 1.1: 1,Flow Sensor 1.4: Flow,SCM 1.3: True Streaming Current
339271,04/09/2019 12:45,0,0,0,6.09,0,0,0,1.2,0
339272,04/09/2019 12:50,9.04,6.21,89.1,6.09,61.7,-95,89.1,150,-142
339273,04/09/2019 12:55,7.99,7.85,89.1,6.09,61.7,-8,89.1,139.1,-55
339274,04/09/2019 13:00,7.51,9.19,89.1,6.08,61.7,-9,89.1,139.4,-56
339275,04/09/2019 13:05,7.23,9.55,89.1,6.08,61.7,-7,89.1,140.2,-54
339276,04/09/2019 13:10,7.05,10.6,89.1,5.97,61.7,-7,89.1,141,-54
339277,04/09/2019 13:15,6.93,10.74,89.1,4.39,61.7,-2,89.1,140.6,-49
339278,04/09/2019 13:20,6.85,10.77,89.2,7.05,61.7,-6,89.2,139.3,-53
339279,04/09/2019 13:25,6.79,10.75,89.3,7.09,61.1,-3,89.3,144.9,-50
339280,04/09/2019 13:30,6.74,10.76,89.4,4.58,62.1,-1,89.3,142.1,-48
339281,04/09/2019 13:35,6.73,10.78,89.5,4.64,63.3,-2,89.5,140.2,-49
339282,04/09/2019 13:40,6.72,10.79,89.9,4.76,63.3,-8,89.9,140.1,-55
339283,04/09/2019 13:45,6.72,10.79,90.3,4.82,63.3,-5,90.3,139.1,-52
339284,04/09/2019 13:50,6.72,10.79,90.6,4.88,63.3,-8,90.6,138.5,-55
339285,04/09/2019 13:55,6.71,10.78,90.7,5,63.3,-2,90.7,139.9,-49
339286,04/09/2019 14:00,6.71,10.78,90.7,5.12,63.3,-4,90.7,139.9,-51
339287,04/09/2019 14:05,6.71,10.77,90.8,5.24,63.3,-4,90.8,139.5,-51
339288,04/09/2019 14:10,6.71,10.77,90.9,5.33,63.3,0,90.9,139.8,-47
339289,04/09/2019 14:15,6.7,10.76,91,5.41,63.5,-1,91,142,-48
339290,04/09/2019 14:20,6.7,10.76,90.9,5.46,63.8,-2,90.9,139.8,-49
339291,04/09/2019 14:25,6.7,10.75,90.7,5.49,64,3,90.7,139.5,-44
339292,04/09/2019 14:30,6.7,10.75,90.9,5.53,64.2,-2,90.9,138.5,-49
339293,04/09/2019 14:35,6.69,10.75,91.1,5.57,64.4,-6,91.1,138.9,-53
339294,04/09/2019 14:40,6.69,10.73,91.3,5.61,64.6,-3,91.3,143.4,-50
